Designator,Mid X,Mid Y,Layer,Rotation
C1,143.129,-107.5058,Top,-90
C3,141.605,-107.5058,Top,-90
C4,142.367,-105.2322,Top,180
C6,134.099,-100.076,Top,180
C7,129.0444,-101.7778,Top,180
C8,137.6274,-95.6818,Top,0
C9,134.6606,-106.045,Top,180
C10,138.4808,-102.6922,Top,-90
C11,133.35,-97.803,Top,-90
D1,118.7865,-96.3695,Top,0
D2,118.745,-108.3945,Top,180
D3,131.7498,-107.315,Top,-90
J3,120.8,-102.362,Top,-90
J4,165.5,-102.362,Top,-90
J6,127.8709,-95.8699,Top,180
L1,162.4946,-100.5098,Top,-90
Q1,132.2832,-102.9716,Top,-90
R1,140.9954,-103.7082,Top,0
R2,122.6566,-92.8756,Top,-90
R3,126.0094,-101.7778,Top,0
R4,126.0094,-107.061,Top,0
R5,140.9954,-102.1842,Top,0
R6,125.9972,-108.585,Top,180
R7,129.032,-107.061,Top,180
R8,134.6962,-107.823,Top,180
R9,134.1506,-95.504,Top,0
R10,134.9248,-97.8022,Top,-90
SW1,139.1666,-106.9068,Top,90
SW2,142.0622,-98.9838,Top,90
U1,152.368,-102.342,Top,-90
U2,127.368,-104.4194,Top,-90
U3,137.6274,-98.7751,Top,180
U4,135.7376,-102.9462,Top,90
